logical_fallacies,label,articles
appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."
ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"
faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."
faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"
appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``"
equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."
intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."
fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."
fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion ."
ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."
,1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd."
,1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports."
,1,"Six women wait to use a port-o-john in a field. Thus, women are outside."
,1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.
,1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object."
,1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.
,1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball."
,1,"A group of dogs stand in the snow. Thus, there are animals outdoors."
,1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.
,1,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts."
