,Unnamed: 0,label,updated_label,articles,Logical Form,Logical Form 2,result,logical_fallacies,sentence
0,0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(exists e (forall b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))) -> (forall a (exists f (IsGiven(f,a))))","(exists b (exists c (exists a (exists e ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))))) -> (exists a (exists f (IsGiven(f,a))))",0,,
1,1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","(forall c (IsLivedExactlyLike(a,c))) -> (exists e (IsBeautiful(d) and IsAPlace(e)))","(exists c (exists a (IsLivedExactlyLike(a,c)))) -> (exists d (exists e (IsBeautiful(d) and IsAPlace(e))))",0,,
2,2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",(IsKnitted(a) and IsFor(b)) -> (IsWorn(c) and MakesHappy(a)),(exists b (exists a (IsKnitted(a) and IsFor(b)))) -> (exists c (exists a (IsWorn(c) and MakesHappy(a)))),1,,
3,3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?","(IsInSpookyCabin(b) & (forall c (forall a ( ShouldBreakInto(c,a) ->  IsInSpookyCabin(a))))) -> (ShouldBreakInto(c,a))","(exists b (IsInSpookyCabin(b)) & (forall d (forall e ( ShouldBreakInto(d,e) ->  IsInSpookyCabin(e))))) -> (exists c (exists a (ShouldBreakInto(c,a))))",0,,
4,4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (forall a (IsBestClass(a))),(exists b (exists c (IsTeacherOf(b) and IsBestClass(c)))) -> (exists a (IsBestClass(a))),0,,
5,5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,(IsBlonde(a) and IsCrossedTheRoad(a)) -> (IsThere(b) and IsShoeSale(c)),(exists a (IsBlonde(a) and IsCrossedTheRoad(a))) -> (exists b (exists c (IsThere(b) and IsShoeSale(c)))),0,,
6,6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",(IsBelieveIn(a) and ~IsGod(b) & (forall b (forall d (  IsGod(b) ->   IsForever(d))))) -> (IsBurnIn(a) and IsInHell(c) and IsForever(d)),(exists b (exists a (IsBelieveIn(a) and ~IsGod(b))) & (forall e (forall f (  IsGod(e) ->   IsForever(f))))) -> (exists d (exists c (exists a (IsBurnIn(a) and IsInHell(c) and IsForever(d))))),0,,
7,7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",() -> (),() -> (),0,,
8,8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,"(forall b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists c (exists a (forall b (IsBelieve(c) and (IsDitching(a,b) or IsNewGirl(b))))))","(exists b (exists a (IsGoingToHaveLunch(a,b)))) -> (exists b (exists c (exists a (IsBelieve(c) and (IsDitching(a,b) or IsNewGirl(b))))))",0,,
9,9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",() -> (),() -> (),0,,
10,10,0,false causality,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",(forall b (IsRun(a) and IsStatisticallyIndependent(b))) -> (exists e (exists d (exists c (IsRoutine(e) and (IsWheel(d) and IsSpirit(c)))))),(exists b (exists a (IsRun(a) and IsStatisticallyIndependent(b)))) -> (exists d (exists c (exists e (IsRoutine(e) and (IsWheel(d) and IsSpirit(c)))))),0,,
11,11,0,false causality,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.",(exists b (IsReceived(b) and HasF(a))) -> (forall a (IsBroken(c) and HasF(a) and IsOn(d))),(exists b (exists a (IsReceived(b) and HasF(a)))) -> (exists d (exists c (exists a (IsBroken(c) and HasF(a) and IsOn(d))))),0,,
12,12,0,fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",(forall c (IsInvestedIn(a) and IsInSchools(c)) & (forall c (forall e (  IsInSchools(c) ->   IsInvestedIn(e)))) & (forall c (forall e (  IsInvestedIn(e) ->   IsInSchools(c))))) -> (exists e (IsCut(d) and IsInvestedIn(e))),(exists c (exists a (IsInvestedIn(a) and IsInSchools(c))) & (forall g (forall f (  IsInSchools(f) ->   IsInvestedIn(g)))) & (forall h (forall i (  IsInvestedIn(h) ->   IsInSchools(i))))) -> (exists d (exists e (IsCut(d) and IsInvestedIn(e)))),0,,
13,13,0,false causality,"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born.","(IsBorn(a) and CreatedCellphones(b)) -> (WasNotInventedBefore(b,a) and ~IsBorn(c))","(exists b (exists a (IsBorn(a) and CreatedCellphones(b)))) -> (exists b (exists c (exists a (WasNotInventedBefore(b,a) and ~IsBorn(c)))))",0,,
14,14,0,ad hominem,Ms. Baker assigned me a lot of homework because she’s a witch!,() -> (),() -> (),0,,
15,15,0,fallacy of credibility,"My dad went to school, so he knows everything about the education system.",() -> (),() -> (),0,,
16,16,0,ad populum,Everyone is doing the Low-Carb Diet.,"(IsDoing(b,a)) -> (IsDoing(c,a))","(exists b (exists a (IsDoing(b,a)))) -> (exists c (exists a (IsDoing(c,a))))",0,,
17,17,0,fallacy of extension,"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?","(IsADD(b)) -> (~IsWantingToCleanOut(a,c))","(exists b (IsADD(b))) -> (exists c (exists a (~IsWantingToCleanOut(a,c))))",0,,
18,18,0,fallacy of credibility,"X has been around for years now.
Y is new.
Therefore, Y is better than X.","(IsNew(a)) -> (IsBetterThan(a,b))","(exists a (IsNew(a))) -> (exists b (exists a (IsBetterThan(a,b))))",0,,
19,19,0,false causality,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw.",() -> (),() -> (),0,,
20,20,0,equivocation,"I like my steak rare. But I don’t care for aardvark steak, even though it’s the rarest steak in the world.","(IsRare(a)) -> (IsNotToMyLiking(b,c))","(exists a (IsRare(a))) -> (exists b (exists c (IsNotToMyLiking(b,c))))",1,,
21,21,0,faulty generalization,"If you allow the students to redo this one test, they will always want to redo all future tests","(forall c (exists b (IsAllowed(a,b) and WantsToRedo(c)))) -> (forall a (forall d (ShouldNotAllow(d,a) and ~IsAStudent(a))))","(exists b (exists c (exists a (IsAllowed(a,b) and WantsToRedo(c))))) -> (exists d (exists a (ShouldNotAllow(d,a) and ~IsAStudent(a))))",0,,
22,22,0,fallacy of relevance,"There is no need for additional taxes for education. Every year we throw more money into education, and all they do is hire more management and build more buildings. None of the money actually reaches the classroom or is really used for education.",(~IsNeeded(b) & (forall d (forall a (  IsReachedTheClassroom(d) ->  IsNeeded(a))))) -> (IsUsedForEducation(a) and ~IsReachedTheClassroom(d)),(exists b (~IsNeeded(b)) & (forall e (forall f (  IsReachedTheClassroom(e) ->  IsNeeded(f))))) -> (exists d (exists a (IsUsedForEducation(a) and ~IsReachedTheClassroom(d)))),0,,
23,23,0,false causality,Believing that the cause of the Reformation was simply Martin Luther posting his theses,(IsPosted(a) and (IsInCastleChurch(b) and IsInWittenberg(c)) & (forall a ( IsBelieving(a) ->  IsPosted(a)))) -> (IsBelieving(a) and ~IsSimplisticViewOfHistory(b)),(exists b (exists c (exists a (IsPosted(a) and (IsInCastleChurch(b) and IsInWittenberg(c))))) & (forall d ( IsBelieving(d) ->  IsPosted(d)))) -> (exists b (exists a (IsBelieving(a) and ~IsSimplisticViewOfHistory(b)))),0,,
