,label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!"," ""Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven.""  "," ""You should give your money to the Church""","IsGiven(b, a),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(g, a)",[],"[(' the Church', ' the Church')]","[(' Your income', ' You'), (' your money', ' Your income'), (' Heaven.', ' the Church')]","(IsGiven(b, a) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(g, a)","(forall b ((IsGiven(b, a) and IsInLimbo(c)) and IsInHeaven(c))) -> (exists g (IsGiven(g, a)))","(exists c (exists a (exists b ((IsGiven(b, a) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists g (exists a (IsGiven(g, a))))",
1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!"," ""Jesus lived a beautiful life.""  "," ""If everyone lived like Jesus, the world would be a beautiful place.""","LivedLife(a, b)","LivedLike(c, a),  IsBeautifulPlace(d, e)","[('LivedLike(c, a)', 'LivedLife(a, b)')]","[(' Jesus', ' Jesus')]","[(' a beautiful life', ' the world')]","LivedLife(a, b)","LivedLike(c, a) and IsBeautifulPlace(d, e)","(exists b (LivedLife(a, b)) & (forall c (forall a (forall b (LivedLike(c, a) -> LivedLife(a, b)))))) -> (forall d (LivedLike(c, a) and IsBeautifulPlace(d, e)))","(exists a (exists b (LivedLife(a, b))) & (forall g (forall f (forall i (forall h (LivedLike(f,g) -> LivedLife(h,i))))))) -> (exists e (exists c (exists a (exists d (LivedLike(c, a) and IsBeautifulPlace(d, e))))))",LF
2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma worked hard on the kitty-cat sweater., You should wear the kitty-cat sweater in the family holiday photo.,"WorkedHardOn(b, a)","Wear(c, a),  IsInFamilyHolidayPhoto(a)","[('WorkedHardOn(b, a)', 'Wear(c, a)'), ('WorkedHardOn(b, a)', '  IsInFamilyHolidayPhoto(a)'), ('  IsInFamilyHolidayPhoto(a)', 'WorkedHardOn(b, a)')]","[(' kitty-cat sweater', ' kitty-cat sweater')]",[],"WorkedHardOn(b, a)","Wear(c, a) and IsInFamilyHolidayPhoto(a)","(WorkedHardOn(b, a) & (forall c (forall a (forall b (WorkedHardOn(b, a) -> Wear(c, a))))) & (forall a (forall b (WorkedHardOn(b, a) ->   IsInFamilyHolidayPhoto(a)))) & (forall a (forall b (  IsInFamilyHolidayPhoto(a) -> WorkedHardOn(b, a))))) -> (Wear(c, a) and IsInFamilyHolidayPhoto(a))","(exists a (exists b (WorkedHardOn(b, a))) & (forall e (forall g (forall f (WorkedHardOn(e,f) -> Wear(g,f))))) & (forall j (forall i (forall h (WorkedHardOn(h,i) ->   IsInFamilyHolidayPhoto(j))))) & (forall l (forall m (forall k (  IsInFamilyHolidayPhoto(k) -> WorkedHardOn(l,m)))))) -> (exists c (exists a (Wear(c, a) and IsInFamilyHolidayPhoto(a))))",Valid
3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"BreaksInto(a, b),  IsSpooky(b)","BreaksInto(c, d),  IsSpooky(d)",[],[],"[(' the spooky cabin', ' You'), (' the spooky cabin', ' spooky cabin')]","Everyone(a) and (BreaksInto(a, b) and IsSpooky(b))","IsSpooky(d) and BreaksInto(c, d)","(exists b (Everyone(a) and (BreaksInto(a, b) and IsSpooky(b)))) -> (forall d (forall c (IsSpooky(d) and BreaksInto(c, d))))","(exists a (exists b (Everyone(a) and (BreaksInto(a, b) and IsSpooky(b))))) -> (exists c (exists d (IsSpooky(d) and BreaksInto(c, d))))",Valid
4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.", Ms. Drayer is the smartest person in the universe and says the debate is the best class.  , The debate is the best class.,"IsSmartestPersonInUniverse(b),  SaysBestClass(a)",IsBestClass(a),[],"[(' the debate', ' The debate'), (' the debate', ' the best class'), (' the best class', ' the best class')]","[(' the best class', ' The debate')]",IsSmartestPersonInUniverse(b) and SaysBestClass(a),IsBestClass(a),(exists a (IsSmartestPersonInUniverse(b) and SaysBestClass(a))) -> (forall a (IsBestClass(a))),(exists a (exists b (IsSmartestPersonInUniverse(b) and SaysBestClass(a)))) -> (exists a (IsBestClass(a))),LF
5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blond crossed the road because she saw a shoe sale.""  "," ""Blonds cross the road for shoe sales.""","IsBlond(a),  CrossedRoad(a),  SawShoeSale(b)","IsBlond(d),  CrossesRoad(d),  ForShoeSales(d)","[('  CrossedRoad(a)', '  CrossesRoad(d)')]",[],"[(' Blonds', ' The blond'), (' she', ' Blonds'), (' shoe sale', ' shoe sales')]",IsBlond(a) and CrossedRoad(a) and SawShoeSale(b),IsBlond(d) and CrossesRoad(d) and ForShoeSales(d),(exists b (forall a (IsBlond(a) and CrossedRoad(a) and SawShoeSale(b))) & (forall a (forall d (  CrossedRoad(a) ->   CrossesRoad(d))))) -> (forall d (exists d (IsBlond(d) and CrossesRoad(d) and ForShoeSales(d)))),(exists a (exists b (IsBlond(a) and CrossedRoad(a) and SawShoeSale(b))) & (forall g (forall h (  CrossedRoad(g) ->   CrossesRoad(h))))) -> (exists d (IsBlond(d) and CrossesRoad(d) and ForShoeSales(d))),LF
6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
"," ""If Timmy doesn't believe in God, Timmy burns in Hell forever.""  "," ""Timmy should believe in God""","NotBelieveIn(a, b),  BurnsIn(a, c)","BelieveIn(a, b)",[],"[(' Timmy', ' Timmy'), (' God', ' God')]",[],"NotBelieveIn(a, b) and BurnsIn(a, c)","BelieveIn(a, b)","(NotBelieveIn(a, b) and BurnsIn(a, c)) -> (BelieveIn(a, b))","(exists c (exists a (exists b (NotBelieveIn(a, b) and BurnsIn(a, c))))) -> (exists a (exists b (BelieveIn(a, b))))",LF
7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity.""  "," ""You are a greedy millionaire.""","IsNotGivenToCharity(b, a)","IsGreedy(a),  IsMillionaire(a)",[],"[(' You', ' You'), (' charity', ' You')]","[(' money', ' You')]","IsNotGivenToCharity(b, a)",IsGreedy(a) and IsMillionaire(a),"(exists b (IsNotGivenToCharity(b, a))) -> (forall a (IsGreedy(a) and IsMillionaire(a)))","(exists a (exists b (IsNotGivenToCharity(b, a)))) -> (exists a (IsGreedy(a) and IsMillionaire(a)))",LF
8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.," ""Caroline is going to have lunch with the new girl."""," ""Caroline is ditching her old friends for the new girl.""","IsHavingLunchWith(a, b)","IsDitchingFor(a, b)","[('IsHavingLunchWith(a, b)', 'IsDitchingFor(a, b)')]","[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]","[(' Caroline', ' her old friends'), (' Caroline', ' the new girl'), (' lunch', ' her old friends'), (' Caroline', ' the new girl')]","IsHavingLunchWith(a, b)","IsDitchingFor(a, b)","(exists a (IsHavingLunchWith(a, b)) & (forall a (forall b (IsHavingLunchWith(a, b) -> IsDitchingFor(a, b))))) -> (exists a (forall b (IsDitchingFor(a, b))))","(exists a (exists b (IsHavingLunchWith(a, b))) & (forall e (forall f (IsHavingLunchWith(e,f) -> IsDitchingFor(e,f))))) -> (exists a (exists b (IsDitchingFor(a, b))))",Valid
9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""If you give anyone a break, they will walk all over you.""  "," ""You should never give anyone a break.""","IsGivenBreak(a,b),  WillWalkOver(c,a)","IsGivenBreak(a,b)",[],"[(' You', ' You'), (' anyone', ' anyone'), (' you', ' You')]",[],"IsGivenBreak(a,b) and WillWalkOver(c,a)","~IsGivenBreak(a,b)","(IsGivenBreak(a,b) and WillWalkOver(c,a)) -> (~IsGivenBreak(a,b))","(exists c (exists a (exists b (IsGivenBreak(a,b) and WillWalkOver(c,a))))) -> (exists a (exists b (~IsGivenBreak(a,b))))",LF
