label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!", Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven.  , You should give your money.,"IsGiven(a,b),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(f, g)",[],[],"[(' Your income', ' You'), (' Your income', ' your money')]","(IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(f, g)","(exists a ((IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c))) -> (forall g (forall f (IsGiven(f, g))))","(exists b (exists c (exists a ((IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists g (exists f (IsGiven(f, g))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!"," ""Jesus lived a beautiful life."""," ""Living like Jesus creates a beautiful world.""",LivedBeautifulLife(a),CreatesBeautifulWorld(x),[],"[(' Jesus', ' Jesus')]",[],LivedBeautifulLife(a),LivingLike(a) and CreatesBeautifulWorld(c),(LivedBeautifulLife(a)) -> (LivingLike(a) and CreatesBeautifulWorld(c)),(exists a (LivedBeautifulLife(a))) -> (exists c (exists a (LivingLike(a) and CreatesBeautifulWorld(c))))
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."," ""Grandma worked hard on the kitty-cat sweater.""  "," ""You should wear the kitty-cat sweater in the family holiday photo.""","WorkedHardOn(b, a)","IsWearing(c, a),  IsInFamilyHolidayPhoto(a, d)","[('IsWearing(c, a)', 'WorkedHardOn(b, a)')]","[(' kitty-cat sweater', ' kitty-cat sweater')]",[],"WorkedHardOn(b, a)","IsWearing(c, a) and IsInFamilyHolidayPhoto(a, d)","(WorkedHardOn(b, a) & (forall b (forall a (forall c (IsWearing(c, a) -> WorkedHardOn(b, a)))))) -> (IsWearing(c, a) and IsInFamilyHolidayPhoto(a, d))","(exists b (exists a (WorkedHardOn(b, a))) & (forall g (forall f (forall e (IsWearing(e,f) -> WorkedHardOn(g,f)))))) -> (exists a (exists d (exists c (IsWearing(c, a) and IsInFamilyHolidayPhoto(a, d)))))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"BreaksInto(a, b),  IsSpooky(b)","BreaksInto(a, b),  IsSpooky(b)",[],"[(' You', ' Everyone'), (' spooky cabin', ' spooky cabin')]",[],"IsSpooky(b) and BreaksInto(a, b)","BreaksInto(a, b) and IsSpooky(b)","(IsSpooky(b) and BreaksInto(a, b)) -> (BreaksInto(a, b) and IsSpooky(b))","(exists b (exists a (IsSpooky(b) and BreaksInto(a, b)))) -> (exists b (exists a (BreaksInto(a, b) and IsSpooky(b))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer says the debate is the best class.""  "," ""The debate is the best class.""","Says(c, a),  IsTheBestClass(a, b)","IsTheBestClass(a, b)",[],"[(' the debate', ' The debate'), (' the best class', ' the best class')]",[],"Says(c, a) and IsTheBestClass(a, b)","IsTheBestClass(a, b)","(Says(c, a) and IsTheBestClass(a, b)) -> (IsTheBestClass(a, b))","(exists b (exists a (exists c (Says(c, a) and IsTheBestClass(a, b))))) -> (exists b (exists a (IsTheBestClass(a, b))))"
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blonde saw a shoe sale.""  "," ""The blonde crossed the road for a shoe sale.""",SawShoeSale(a),"CrossedRoad(a),  IsForShoeSale(a)",[],"[(' The blonde', ' The blonde')]",[],SawShoeSale(a),CrossedRoad(a) and IsForShoeSale(a),(SawShoeSale(a)) -> (CrossedRoad(a) and IsForShoeSale(a)),(exists a (SawShoeSale(a))) -> (exists a (CrossedRoad(a) and IsForShoeSale(a)))
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
", Timmy does not believe in God   , Timmy burns in Hell forever,"DoesNotBelieveIn(a, b)","BurnsIn(a, c),  IsInHellForever(a)",[],"[(' Timmy', ' Timmy')]",[],"DoesNotBelieveIn(a, b)","BurnsIn(a, c) and IsInHellForever(a)","(DoesNotBelieveIn(a, b)) -> (BurnsIn(a, c) and IsInHellForever(a))","(exists b (exists a (DoesNotBelieveIn(a, b)))) -> (exists c (exists a (BurnsIn(a, c) and IsInHellForever(a))))"
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity."""," ""You are a greedy millionaire.""","Gave(b, c)","IsGreedy(d),  IsMillionaire(d)",[],"[(' You', ' You')]",[],"~Gave(b, c)",IsGreedy(d) and IsMillionaire(d),"(~Gave(b, c)) -> (IsGreedy(d) and IsMillionaire(d))","(exists b (exists c (~Gave(b, c)))) -> (exists d (IsGreedy(d) and IsMillionaire(d)))"
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.," ""Caroline is going to have lunch with the new girl.""  "," ""Caroline is ditching her old friends for the new girl.""","IsGoingToHaveLunchWith(a, b)","IsDitchingFor(a, b),  IsOldFriends(d)",[],"[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]",[],"IsGoingToHaveLunchWith(a, b)","IsDitchingFor(a, b) and IsOldFriends(d)","(IsGoingToHaveLunchWith(a, b)) -> (IsDitchingFor(a, b) and IsOldFriends(d))","(exists b (exists a (IsGoingToHaveLunchWith(a, b)))) -> (exists b (exists d (exists a (IsDitchingFor(a, b) and IsOldFriends(d)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""If you give anyone a break, they'll walk all over you.""  "," ""You should never give anyone a break.""","GivesBreak(a, b),  WalksOver(c, a)","GivesBreak(a, b)",[],"[(' You', ' You'), (' anyone', ' anyone'), (' you', ' You')]","[(' You', ' anyone'), (' anyone', ' You'), (' you', ' anyone')]","GivesBreak(a, b) and WalksOver(c, a)","GivesBreak(a, b) and ~IsGiven(a, b)","(exists b (exists a (GivesBreak(a, b) and WalksOver(c, a)))) -> (exists a (forall b (GivesBreak(a, b) and ~IsGiven(a, b))))","(exists b (exists c (exists a (GivesBreak(a, b) and WalksOver(c, a))))) -> (exists b (exists a (GivesBreak(a, b) and ~IsGiven(a, b))))"
