label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!", Giving 10% of your income to the Church frees a child's soul from Limbo into Heaven.  , You should give your money to the Church.,"IsGiven(a, b),  IsFreed(c),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(f, g)",[],[],"[(' Your money', ' Your income'), (' Church', ' the Church')]","(IsGiven(a, b) and IsFreed(c) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(f, g)","(forall b (forall a ((IsGiven(a, b) and IsFreed(c) and IsInLimbo(c)) and IsInHeaven(c)))) -> (exists g (exists f (IsGiven(f, g))))","(exists a (exists b (exists c ((IsGiven(a, b) and IsFreed(c) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists f (exists g (IsGiven(f, g))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!", Jesus lived a beautiful life.  , Everyone should live exactly like Jesus.,"IsLivedBy(a, b),  IsBeautiful(b)","IsLike(c, a)",[],"[(' Jesus', ' Jesus')]",[],"IsLivedBy(a, b) and IsBeautiful(b)","∀c IsLike(c, a)","(IsLivedBy(a, b) and IsBeautiful(b)) -> (∀c IsLike(c, a))","(exists a (exists b (IsLivedBy(a, b) and IsBeautiful(b)))) -> (exists a (exists c (∀c IsLike(c, a))))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma knitted the kitty-cat sweater.  , You should wear the kitty-cat sweater in the family holiday photo.,"IsKnittedBy(a, b)","IsWornBy(a, c),  IsIn(d)","[('  IsIn(d)', 'IsKnittedBy(a, b)')]","[(' kitty-cat sweater', ' kitty-cat sweater')]",[],"IsKnittedBy(a, b)","IsWornBy(a, c) and IsIn(d)","(IsKnittedBy(a, b) & (forall a (forall d (forall b (  IsIn(d) -> IsKnittedBy(a, b)))))) -> (IsWornBy(a, c) and IsIn(d))","(exists a (exists b (IsKnittedBy(a, b))) & (forall f (forall g (forall e (  IsIn(e) -> IsKnittedBy(f,g)))))) -> (exists a (exists d (exists c (IsWornBy(a, c) and IsIn(d)))))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"IsSpooky(a),  BreaksInto(b, a)","IsSpooky(a),  BreaksInto(c, a)",[],"[(' spooky cabin', ' spooky cabin')]","[(' spooky cabin', ' You')]","IsSpooky(a) and BreaksInto(b, a)","IsSpooky(a) and BreaksInto(c, a)","(exists a (IsSpooky(a) and BreaksInto(b, a))) -> (forall c (IsSpooky(a) and BreaksInto(c, a)))","(exists a (exists b (IsSpooky(a) and BreaksInto(b, a)))) -> (exists a (exists c (IsSpooky(a) and BreaksInto(c, a))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer is the smartest person in the universe and Ms. Drayer says the debate is the best class.""  "," ""The debate is the best class.""","IsSmartestPersonInTheUniverse(b),  Says(b, a),  IsBestClass(a)",IsBestClass(a),"[('IsSmartestPersonInTheUniverse(b)', 'IsBestClass(a)'), ('  Says(b, a)', 'IsBestClass(a)')]","[(' the debate', ' The debate'), (' the debate', ' the best class')]",[],"IsSmartestPersonInTheUniverse(b) and Says(b, a) and IsBestClass(a)",IsBestClass(a),"(IsSmartestPersonInTheUniverse(b) and Says(b, a) and IsBestClass(a) & (forall a (forall b (IsSmartestPersonInTheUniverse(b) -> IsBestClass(a)))) & (forall a (forall b (  Says(b, a) -> IsBestClass(a))))) -> (IsBestClass(a))","(exists a (exists b (IsSmartestPersonInTheUniverse(b) and Says(b, a) and IsBestClass(a))) & (forall g (forall h (IsSmartestPersonInTheUniverse(g) -> IsBestClass(h)))) & (forall i (forall j (forall k (  Says(i,j) -> IsBestClass(k)))))) -> (exists a (IsBestClass(a)))"
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blond saw a shoe sale.""  "," ""The blond crossed the road due to a shoe sale.""","IsBlond(a),  SawShoeSale(a)","IsBlond(a),  CrossedRoad(a),  IsDueToShoeSale(a, b)","[('  CrossedRoad(a)', 'IsBlond(a)'), ('  CrossedRoad(a)', '  SawShoeSale(a)')]","[(' The blond', ' The blond'), (' shoe sale', ' shoe sale')]",[],IsBlond(a) and SawShoeSale(a),"IsBlond(a) and CrossedRoad(a) and IsDueToShoeSale(a, b)","(IsBlond(a) and SawShoeSale(a) & (forall a (  CrossedRoad(a) -> IsBlond(a))) & (forall a (  CrossedRoad(a) ->   SawShoeSale(a)))) -> (IsBlond(a) and CrossedRoad(a) and IsDueToShoeSale(a, b))","(exists a (IsBlond(a) and SawShoeSale(a)) & (forall d (  CrossedRoad(d) -> IsBlond(d))) & (forall e (  CrossedRoad(e) ->   SawShoeSale(e)))) -> (exists a (exists b (IsBlond(a) and CrossedRoad(a) and IsDueToShoeSale(a, b))))"
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
"," ""If Timmy doesn't believe in God, Timmy burns in Hell forever.""  "," ""Timmy must believe in God.""","DoesNotBelieveIn(a, b),  BurnsIn(a, c)","MustBelieveIn(a, b)",[],"[(' Timmy', ' Timmy'), (' God', ' God')]",[],"DoesNotBelieveIn(a, b) and BurnsIn(a, c)","MustBelieveIn(a, b)","(DoesNotBelieveIn(a, b) and BurnsIn(a, c)) -> (MustBelieveIn(a, b))","(exists a (exists b (exists c (DoesNotBelieveIn(a, b) and BurnsIn(a, c))))) -> (exists a (exists b (MustBelieveIn(a, b))))"
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity.""  "," ""You are a greedy millionaire.""","GaveMoney(a, b)","IsGreedy(c),  IsMillionaire(c)",[],"[(' You', ' You'), (' charity', ' You')]","[(' money', ' You')]","~GaveMoney(a, b)",IsGreedy(c) and IsMillionaire(c),"(~GaveMoney(a, b)) -> (IsGreedy(c) and IsMillionaire(c))","(exists a (exists b (~GaveMoney(a, b)))) -> (exists c (IsGreedy(c) and IsMillionaire(c)))"
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.," ""Caroline is going to have lunch with the new girl."""," ""Caroline is ditching her old friends for the new girl.""","IsGoingToHaveLunchWith(a, c)","IsDitching(a, d),  IsFor(e)","[('IsGoingToHaveLunchWith(a, c)', 'IsDitching(a, d)'), ('IsDitching(a, d)', 'IsGoingToHaveLunchWith(a, c)')]","[(' Caroline', ' Caroline')]","[(' Caroline', ' her old friends'), (' Caroline', ' the new girl'), (' lunch', ' her old friends'), (' Caroline', ' new girl'), (' the new girl', ' new girl')]","IsGoingToHaveLunchWith(a, c)","IsDitching(a, d) and IsFor(e)","(forall c (exists a (IsGoingToHaveLunchWith(a, c))) & (forall a (forall d (forall c (IsGoingToHaveLunchWith(a, c) -> IsDitching(a, d))))) & (forall a (forall d (forall c (IsDitching(a, d) -> IsGoingToHaveLunchWith(a, c)))))) -> (exists a (forall e (forall d (IsDitching(a, d) and IsFor(e)))))","(exists a (exists c (IsGoingToHaveLunchWith(a, c))) & (forall f (forall g (forall h (IsGoingToHaveLunchWith(f,g) -> IsDitching(f,h))))) & (forall i (forall j (forall k (IsDitching(i,j) -> IsGoingToHaveLunchWith(i,k)))))) -> (exists a (exists d (exists e (IsDitching(a, d) and IsFor(e)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""You can never give anyone a break.""  "," ""People will walk all over you.""","Give(a, b, c)","WalkAllOver(d, a)",[],"[(' You', ' you')]","[(' a break', ' you')]","~Give(a, b, c)","WalkAllOver(d, a)","(exists c (~Give(a, b, c))) -> (forall a (WalkAllOver(d, a)))","(exists a (exists b (exists c (~Give(a, b, c))))) -> (exists a (exists d (WalkAllOver(d, a))))"
