,label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!", Giving 10% of your income to the Church will free a child's soul from Limbo into Heaven.  , You should give your money to the Church.,"IsGiven(b,a),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(f,a)",[],"[(' the Church', ' the Church')]","[(' Your income', ' Your money')]","(IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(f,a)","(exists b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(c))) -> (forall f (IsGiven(f,a)))","(exists a (exists b (exists c ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists a (exists f (IsGiven(f,a))))",
1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!", Jesus lived a beautiful life.  , The world would be a beautiful place.,LivedBeautifulLife(a),IsBeautifulPlace(c),[],[],[],LivedBeautifulLife(a),IsBeautifulPlace(c),(LivedBeautifulLife(a)) -> (IsBeautifulPlace(c)),(exists a (LivedBeautifulLife(a))) -> (exists c (IsBeautifulPlace(c))),LF
2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma knitted the kitty-cat sweater., You should wear the kitty-cat sweater in the family holiday photo.,"KnittedSweater(a, b)","IsWornInPhoto(c, d)",[],[],[],"KnittedSweater(a, b)","IsWornInPhoto(c, d)","(KnittedSweater(a, b)) -> (IsWornInPhoto(c, d))","(exists a (exists b (KnittedSweater(a, b)))) -> (exists c (exists d (IsWornInPhoto(c, d))))",LF
3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"BreaksInto(b, a),  IsSpooky(a)","BreaksInto(c, a),  IsSpooky(a)",[],"[(' spooky cabin', ' spooky cabin')]","[(' Everyone', ' You')]","∀b (IsSpooky(a) and BreaksInto(b, a))","IsSpooky(a) and BreaksInto(c, a)","(exists b (∀b (IsSpooky(a) and BreaksInto(b, a)))) -> (forall c (IsSpooky(a) and BreaksInto(c, a)))","(exists a (exists b (∀b (IsSpooky(a) and BreaksInto(b, a))))) -> (exists a (exists c (IsSpooky(a) and BreaksInto(c, a))))",
4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer, the smartest person in the universe, says the debate is the best class.""  "," ""The debate is the best class.""","IsSmartestPersonInUniverse(c),  IsBestClass(a)",IsBestClass(a),[],"[(' the debate', ' The debate'), (' the best class', ' the best class')]",[],IsSmartestPersonInUniverse(c) and IsBestClass(a),IsBestClass(a),(IsSmartestPersonInUniverse(c) and IsBestClass(a)) -> (IsBestClass(a)),(exists a (exists c (IsSmartestPersonInUniverse(c) and IsBestClass(a)))) -> (exists a (IsBestClass(a))),Valid
5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blond crossed the road because she saw a shoe sale.""  "," ""Blonds are easily attracted by shoe sales.""",SeesShoeSale(b),IsAttractedByShoeSales(d),"[('SeesShoeSale(b)', 'IsAttractedByShoeSales(d)'), ('IsAttractedByShoeSales(d)', 'SeesShoeSale(b)')]",[],"[(' a shoe sale', ' shoe sales')]",SeesShoeSale(b) and CrossedRoad(a),IsAttractedByShoeSales(d),(SeesShoeSale(b) and CrossedRoad(a) & (forall b (forall d (SeesShoeSale(b) -> IsAttractedByShoeSales(d)))) & (forall b (forall d (IsAttractedByShoeSales(d) -> SeesShoeSale(b))))) -> (IsAttractedByShoeSales(d)),(exists a (exists b (SeesShoeSale(b) and CrossedRoad(a))) & (forall g (forall f (SeesShoeSale(f) -> IsAttractedByShoeSales(g)))) & (forall i (forall h (IsAttractedByShoeSales(h) -> SeesShoeSale(i))))) -> (exists d (IsAttractedByShoeSales(d))),Valid
6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
", Timmy will burn in Hell forever if Timmy does not believe in God.  , Timmy must believe in God.,"WillBurnInHellForever(a),  DoesNotBelieveInGod(a)",MustBelieveInGod(a),[],"[(' Timmy', ' Timmy'), (' God', ' God')]",[],DoesNotBelieveInGod(a) and WillBurnInHellForever(a),MustBelieveInGod(a),(DoesNotBelieveInGod(a) and WillBurnInHellForever(a)) -> (MustBelieveInGod(a)),(exists a (DoesNotBelieveInGod(a) and WillBurnInHellForever(a))) -> (exists a (MustBelieveInGod(a))),LF
7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity, and you are a greedy millionaire.""  "," ""You are a greedy millionaire.""","GaveMoneyToCharity(a, c, d),  IsGreedyMillionaire(a)",IsGreedyMillionaire(a),[],"[(' You', ' You'), (' greedy millionaire', ' a greedy millionaire')]",[],"~GaveMoneyToCharity(a, c, d) and IsGreedyMillionaire(a)",IsGreedyMillionaire(a),"(~GaveMoneyToCharity(a, c, d) and IsGreedyMillionaire(a)) -> (IsGreedyMillionaire(a))","(exists a (exists c (exists d (~GaveMoneyToCharity(a, c, d) and IsGreedyMillionaire(a))))) -> (exists a (IsGreedyMillionaire(a)))",Valid
8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl., Caroline is going to have lunch with the new girl.  , Caroline is ditching her old friends for the new girl.,"IsHavingLunch(a,c),  IsWith(a,b)","IsDitching(a,d),  IsFor(a,b)","[('  IsFor(a,b)', '  IsWith(a,b)')]","[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]",[],"IsHavingLunch(a,c) and IsWith(a,b)","IsDitching(a,d) and IsFor(a,b)","(IsHavingLunch(a,c) and IsWith(a,b) & (forall a (forall b (  IsFor(a,b) ->   IsWith(a,b))))) -> (IsDitching(a,d) and IsFor(a,b))","(exists a (exists c (exists b (IsHavingLunch(a,c) and IsWith(a,b)))) & (forall e (forall f (  IsFor(e,f) ->   IsWith(e,f))))) -> (exists a (exists b (exists d (IsDitching(a,d) and IsFor(a,b)))))",LF
9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""You can never give anyone a break.""  "," ""They will walk all over you.""","CanGive(a, b)","WalkOver(c, a)",[],"[(' You', ' you')]",[],"~CanGive(a, b)","WalkOver(c, a)","(~CanGive(a, b)) -> (WalkOver(c, a))","(exists a (exists b (~CanGive(a, b)))) -> (exists a (exists c (WalkOver(c, a))))",LF
