sentence,label,articles,Logical Form,Logical Form 2
"A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it. As a consequence, a worker is on a break.",0,"A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it. As a consequence, a worker is on a break.","(IsOnBreak(a)) -> (IsNear(c,d) and IsBlue(e))","(exists a (IsOnBreak(a))) -> (exists e (exists c (exists d (IsNear(c,d) and IsBlue(e)))))"
"A man in a blue shirt emerges from a doorway. Therefore, a man is sitting at a table.",0,"A man in a blue shirt emerges from a doorway. Therefore, a man is sitting at a table.",(IsSittingAt(b)) -> (IsInBlueShirt(c) and IsSittingAt(a)),(exists b (IsSittingAt(b))) -> (exists c (exists a (IsInBlueShirt(c) and IsSittingAt(a))))
"A man in shorts and flip-flops is carrying a bag on his back. Consequently, a man is outside with no bag on his back.",0,"A man in shorts and flip-flops is carrying a bag on his back. Consequently, a man is outside with no bag on his back.","(exists c (IsCarriedOnBack(a,c))) -> (forall a (IsOutside(a) and IsWithoutBagOnBack(a,e)))","(exists c (exists a (IsCarriedOnBack(a,c)))) -> (exists e (exists a (IsOutside(a) and IsWithoutBagOnBack(a,e))))"
A woman in a hooded type coat is holding a golden colored axe. This implies that a man holds a sword.,0,A woman in a hooded type coat is holding a golden colored axe. This implies that a man holds a sword.,"(IsHeldBy(a,b)) -> (IsHeldBy(c,d))","(exists a (exists b (IsHeldBy(a,b)))) -> (exists c (exists d (IsHeldBy(c,d))))"
"A public speaker in a plaid shirt speaks on the microphone. Thus, a man is wearing a suit.",0,"A public speaker in a plaid shirt speaks on the microphone. Thus, a man is wearing a suit.","(IsWearing(a,b)) -> (IsPublicSpeaker(c) and IsInPlaidShirt(d) and IsSpeakingOnMicrophone(e))","(exists a (exists b (IsWearing(a,b)))) -> (exists e (exists c (exists d (IsPublicSpeaker(c) and IsInPlaidShirt(d) and IsSpeakingOnMicrophone(e)))))"
"Picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background. Therefore, a man is playing the trumpet on the street corner.",0,"Picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background. Therefore, a man is playing the trumpet on the street corner.",(IsPlaying(a) and IsOnStreetCorner(b)) -> (IsUnrecognizable(d) and IsWatchingInBackground(e)),(exists a (exists b (IsPlaying(a) and IsOnStreetCorner(b)))) -> (exists e (exists d (IsUnrecognizable(d) and IsWatchingInBackground(e))))
"A skier being helped onto a red stretcher by three men, while two other men and a woman prepare to help. Thus, a skier is standing on a blue stretcher while three men watch excitedly.",0,"A skier being helped onto a red stretcher by three men, while two other men and a woman prepare to help. Thus, a skier is standing on a blue stretcher while three men watch excitedly.","(forall a (IsStandingOn(a,b))) -> (exists d (AreExcitedlyWatching(c,d)))","(exists a (exists b (IsStandingOn(a,b)))) -> (exists c (exists d (AreExcitedlyWatching(c,d))))"
A man wearing a brown hoodie is shopping for snacks. It follows that the man is wearing a red shirt.,0,A man wearing a brown hoodie is shopping for snacks. It follows that the man is wearing a red shirt.,"(forall a (IsWearing(a,b) and IsShoppingFor(c))) -> (exists d (IsWearing(d,e)))","(exists c (exists a (exists b (IsWearing(a,b) and IsShoppingFor(c))))) -> (exists e (exists d (IsWearing(d,e))))"
"A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine. Hence, there is  no man.",0,"A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine. Hence, there is  no man.","(IsInBlueShirt(a) and IsWorkingOnExerciseBicycleControlPanel(a)) -> (~IsBald(a) and ~IsTouching(a,b))","(exists a (IsInBlueShirt(a) and IsWorkingOnExerciseBicycleControlPanel(a))) -> (exists a (exists b (~IsBald(a) and ~IsTouching(a,b))))"
"A man playing the guitar while smoking a cigarette. Thus, the man is also playing the drums.",0,"A man playing the guitar while smoking a cigarette. Thus, the man is also playing the drums.",(IsPlaying(a) and IsSmoking(c)) -> (IsPlaying(a)),(exists c (exists a (IsPlaying(a) and IsSmoking(c)))) -> (exists a (IsPlaying(a)))
