label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!", Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven., You should give your money to the Church.,"IsGiven(b, a),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(f, a)",[],"[(' the Church', ' the Church')]","[(' Your income', ' Your money')]","(IsGiven(b, a) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(f, a)","(exists b ((IsGiven(b, a) and IsInLimbo(c)) and IsInHeaven(c))) -> (forall f (IsGiven(f, a)))","(exists a (exists c (exists b ((IsGiven(b, a) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists f (exists a (IsGiven(f, a))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!", Jesus lived his life beautifully.  , The world would be a beautiful place if everyone lived like Jesus.,LivedBeautifully(a),"IsBeautifulPlace(c),  LivedLikeJesus(e)",[],"[(' Jesus', ' Jesus')]",[],LivedBeautifully(a),(LivedLikeJesus(e) and IsBeautifulPlace(c)) and IsBeautifulPlace(d),(LivedBeautifully(a)) -> ((LivedLikeJesus(e) and IsBeautifulPlace(c)) and IsBeautifulPlace(d)),(exists a (LivedBeautifully(a))) -> (exists c (exists e (exists d ((LivedLikeJesus(e) and IsBeautifulPlace(c)) and IsBeautifulPlace(d)))))
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma knitted the kitty-cat sweater for you., Wearing the kitty-cat sweater in the family holiday photo makes Grandma happy.,"Knitted(b, a),  ForYou(b, c)","WornInFamilyHolidayPhoto(b, d),  MakesHappy(b, a)",[],"[(' Grandma', ' Grandma'), (' the kitty-cat sweater', ' Kitty-cat sweater')]",[],"Knitted(b, a) and ForYou(b, c)","WornInFamilyHolidayPhoto(b, d) and MakesHappy(b, a)","(Knitted(b, a) and ForYou(b, c)) -> (WornInFamilyHolidayPhoto(b, d) and MakesHappy(b, a))","(exists a (exists c (exists b (Knitted(b, a) and ForYou(b, c))))) -> (exists a (exists d (exists b (WornInFamilyHolidayPhoto(b, d) and MakesHappy(b, a)))))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?", Everyone breaks into the spooky cabin.  , You should break into the spooky cabin.,"IsSpooky(a),  BreaksInto(b, a)","IsSpooky(a),  BreaksInto(c, a)",[],"[(' spooky cabin', ' spooky cabin')]","[(' Everyone', ' You')]","IsSpooky(a) and BreaksInto(b, a)","IsSpooky(a) and BreaksInto(c, a)","(exists b (IsSpooky(a) and BreaksInto(b, a))) -> (forall c (IsSpooky(a) and BreaksInto(c, a)))","(exists a (exists b (IsSpooky(a) and BreaksInto(b, a)))) -> (exists a (exists c (IsSpooky(a) and BreaksInto(c, a))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer is the smartest person in the universe and says the debate is the best class."""," ""The debate is the best class.""","IsSmartest(b),  IsSmartest(c),  SaysBestClass(b, a)",IsBestClass(a),[],"[(' the debate', ' The debate')]",[],"IsSmartest(b) and IsSmartest(c) and SaysBestClass(b, a)",IsBestClass(a),"(IsSmartest(b) and IsSmartest(c) and SaysBestClass(b, a)) -> (IsBestClass(a))","(exists a (exists c (exists b (IsSmartest(b) and IsSmartest(c) and SaysBestClass(b, a))))) -> (exists a (IsBestClass(a)))"
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!, A blond crossed the road because she saw a shoe sale.  , Blonds cross roads for shoe sales.,"CrossedRoad(a),  SawShoeSale(b)","CrossRoads(a),  ForShoeSales(a)",[],"[(' Blonds', ' A blond')]",[],CrossedRoad(a) and SawShoeSale(b),CrossRoads(a) and ForShoeSales(a),(CrossedRoad(a) and SawShoeSale(b)) -> (CrossRoads(a) and ForShoeSales(a)),(exists a (exists b (CrossedRoad(a) and SawShoeSale(b)))) -> (exists a (CrossRoads(a) and ForShoeSales(a)))
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
", Timmy doesn't believe in God.  , Timmy burns in Hell forever.,"DoesNotBelieveIn(a, b)","BurnsIn(a, c),  IsInHellForever(a)",[],"[(' Timmy', ' Timmy')]",[],"DoesNotBelieveIn(a, b)","BurnsIn(a, c) and IsInHellForever(a)","(DoesNotBelieveIn(a, b)) -> (BurnsIn(a, c) and IsInHellForever(a))","(exists a (exists b (DoesNotBelieveIn(a, b)))) -> (exists a (exists c (BurnsIn(a, c) and IsInHellForever(a))))"
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity."""," ""You are a greedy millionaire.""",GaveMoneyToCharity(a),"IsGreedy(a),  IsMillionaire(a)",[],"[(' You', ' You')]",[],~GaveMoneyToCharity(a),IsGreedy(a) and IsMillionaire(a),(~GaveMoneyToCharity(a)) -> (IsGreedy(a) and IsMillionaire(a)),(exists a (~GaveMoneyToCharity(a))) -> (exists a (IsGreedy(a) and IsMillionaire(a)))
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl., Caroline is going to have lunch with the new girl.  , Caroline is ditching her old friends for the new girl.,"IsGoingToHaveLunchWith(a, b)","IsDitchingFor(a, b),  IsOldFriends(d)",[],"[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]",[],"IsGoingToHaveLunchWith(a, b)","IsDitchingFor(a, b) and IsOldFriends(d)","(IsGoingToHaveLunchWith(a, b)) -> (IsDitchingFor(a, b) and IsOldFriends(d))","(exists a (exists b (IsGoingToHaveLunchWith(a, b)))) -> (exists a (exists d (exists b (IsDitchingFor(a, b) and IsOldFriends(d)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""You cannot give anyone a break."""," ""People will walk all over you.""","CannotGiveBreak(a, a)","WillWalkOver(b, a)",[],"[(' You', ' you'), (' you', ' anyone')]","[(' You', ' People'), (' anyone', ' People')]","CannotGiveBreak(a, a)","WillWalkOver(b, a)","(exists a (CannotGiveBreak(a, a))) -> (forall b (WillWalkOver(b, a)))","(exists a (CannotGiveBreak(a, a))) -> (exists a (exists b (WillWalkOver(b, a))))"
