,label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!"," ""Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven.""  "," ""People should give their money.""","IsGiven(a,b),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(g,f)",[],[],[],"(IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(g, f)","((IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c)) -> (IsGiven(g, f))","(exists b (exists a (exists c ((IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists f (exists g (IsGiven(g, f))))",
1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!"," ""Everyone should live life exactly like Jesus lived his life.""  "," ""The world would be a beautiful place.""","ShouldLiveLike(a, c),  IsLifeExactlyLike(b, d)",IsBeautiful(e),[],[],[],"ShouldLiveLike(a, c) and IsLifeExactlyLike(b, d)",IsBeautiful(e),"(ShouldLiveLike(a, c) and IsLifeExactlyLike(b, d)) -> (IsBeautiful(e))","(exists b (exists d (exists a (exists c (ShouldLiveLike(a, c) and IsLifeExactlyLike(b, d)))))) -> (exists e (IsBeautiful(e)))",LF
2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."," ""Grandma worked hard on the kitty-cat sweater.""  "," ""Wearing the kitty-cat sweater will make Grandma happy.""","WorkedHard(a),  Created(b)","IsWorn(b),  MakesHappy(a)",[],"[(' Grandma', ' Grandma'), (' the kitty-cat sweater', ' the kitty-cat sweater')]",[],WorkedHard(a) and Created(b),(IsWorn(b) and MakesHappy(a)),(WorkedHard(a) and Created(b)) -> ((IsWorn(b) and MakesHappy(a))),(exists b (exists a (WorkedHard(a) and Created(b)))) -> (exists b (exists a ((IsWorn(b) and MakesHappy(a))))),
3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?"," ""Everyone breaks into the spooky cabin.""  "," ""Dave has committed a fallacy.""","BreaksInto(a, b),  IsSpooky(b)","HasCommitted(c, d),  IsFallacy(d)",[],[],[],"IsSpooky(b) and BreaksInto(a, b)","HasCommitted(c, d) and IsFallacy(d)","(IsSpooky(b) and BreaksInto(a, b)) -> (HasCommitted(c, d) and IsFallacy(d))","(exists b (exists a (IsSpooky(b) and BreaksInto(a, b)))) -> (exists d (exists c (HasCommitted(c, d) and IsFallacy(d))))",LF
4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer says the debate is the best class.""  "," ""The debate is the best class.""","Says(b),  IsBestClass(a)","Says(a),  IsBestClass(a)",[],"[(' the debate', ' The debate'), (' the debate', ' the best class'), (' the best class', ' the best class')]","[(' the best class', ' The debate')]",Says(b) and IsBestClass(a),Says(a) and IsBestClass(a),(exists a (Says(b) and IsBestClass(a))) -> (forall a (Says(a) and IsBestClass(a))),(exists b (exists a (Says(b) and IsBestClass(a)))) -> (exists a (Says(a) and IsBestClass(a))),LF
5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blond crossed the road because she saw a shoe sale.""  "," ""A shoe sale is worth crossing the road for.""","IsBlond(b),  CrossedRoad(b),  Saw(c, a),  IsShoeSale(a)","IsShoeSale(a),  IsWorthCrossing(a, d)",[],"[(' a shoe sale', ' A shoe sale')]",[],"(IsBlond(b) and CrossedRoad(b) and Saw(c, a) and IsShoeSale(a))","IsShoeSale(a) and IsWorthCrossing(a, d)","((IsBlond(b) and CrossedRoad(b) and Saw(c, a) and IsShoeSale(a))) -> (IsShoeSale(a) and IsWorthCrossing(a, d))","(exists b (exists a (exists c ((IsBlond(b) and CrossedRoad(b) and Saw(c, a) and IsShoeSale(a)))))) -> (exists d (exists a (IsShoeSale(a) and IsWorthCrossing(a, d))))",
6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
"," ""If Timmy does not believe in God, then Timmy burns in Hell forever.""  "," ""Timmy should believe in God.""","BelievesIn(a, b),  BurnsIn(a, c),  IsInHellForever(a)","BelievesIn(a, b)",[],"[(' Timmy', ' Timmy'), (' God', ' God')]",[],"~BelievesIn(a, b) and (BurnsIn(a, c) and IsInHellForever(a))","BelievesIn(a, b)","(~BelievesIn(a, b) and (BurnsIn(a, c) and IsInHellForever(a))) -> (BelievesIn(a, b))","(exists b (exists a (exists c (~BelievesIn(a, b) and (BurnsIn(a, c) and IsInHellForever(a)))))) -> (exists b (exists a (BelievesIn(a, b))))",LF
7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity.""  "," ""You must be a greedy millionaire.""","GaveMoney(a, b),  IsGivenTo(b, a)","IsGreedy(c),  IsMillionaire(c)",[],"[(' You', ' You'), (' charity', ' You')]","[(' money', ' You')]","~GaveMoney(a, b) and IsGivenTo(b, a)",IsGreedy(c) and IsMillionaire(c),"(~GaveMoney(a, b) and IsGivenTo(b, a)) -> (IsGreedy(c) and IsMillionaire(c))","(exists b (exists a (~GaveMoney(a, b) and IsGivenTo(b, a)))) -> (exists c (IsGreedy(c) and IsMillionaire(c)))",LF
8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.," ""Caroline is going to have lunch with the new girl.""  "," ""Caroline is ditching her old friends for the new girl.""","IsHavingLunch(a),  IsNewGirl(b)","IsDitching(a),  HasOldFriends(a),  IsNewGirl(b)",[],"[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]","[(' Caroline', ' her old friends'), (' Caroline', ' the new girl'), (' Caroline', ' the new girl')]",IsHavingLunch(a) and IsNewGirl(b),IsDitching(a) and HasOldFriends(a) and ~HasOldFriends(c) and IsNewGirl(b),(exists a (IsHavingLunch(a) and IsNewGirl(b))) -> (exists a (forall b (forall c (IsDitching(a) and HasOldFriends(a) and ~HasOldFriends(c) and IsNewGirl(b))))),(exists b (exists a (IsHavingLunch(a) and IsNewGirl(b)))) -> (exists b (exists a (exists c (IsDitching(a) and HasOldFriends(a) and ~HasOldFriends(c) and IsNewGirl(b))))),LF
9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""You can never give anyone a break.""  "," ""People will walk all over you if you give anyone a break.""","CanNeverGive(a, b, c)","WillWalkAllOver(d, a),  CanGive(a, b, c)",[],"[(' You', ' you'), (' anyone', ' anyone'), (' a break', ' a break')]","[(' a break', ' You'), (' a break', ' you')]","CanNeverGive(a, b, c)","CanGive(a, b, c) and WillWalkAllOver(d, a)","(exists c (CanNeverGive(a, b, c))) -> (exists c (forall a (CanGive(a, b, c) and WillWalkAllOver(d, a))))","(exists b (exists a (exists c (CanNeverGive(a, b, c))))) -> (exists b (exists d (exists a (exists c (CanGive(a, b, c) and WillWalkAllOver(d, a))))))",LF
