logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies ."," Access to cleaner water has increased, mortality from extreme weather events has declined by 99 percent since the 1920s, fewer people are dying from heat, death rates from climate-sensitive diseases like malaria and diarrhoea have decreased, hunger rates have declined, poverty has declined, life expectancy has more than doubled since the start of industrialization, health-adjusted life expectancy has increased, global inequality has decreased in terms of incomes, life expectancies, and access to modern-day amenities, the earth is green and more productive, habitat lost to agriculture has peaked due to fossil fuel dependent technologies.", Human well-being has improved significantly over time.,"IsIncreased(a),  IsDeclinedBy99Percent(b),  IsDyingFewerPeople(c, d),  IsDecreased(e),  IsDecreased(f),  IsDecreased(g),  IsDeclined(h),  IsDeclined(i),  IsMoreThanDoubled(j, k),  IsIncreased(l),  IsDecreased(m),  IsGreen(q),  IsMoreProductive(q),  IsPeaked(r, s)",IsImprovedSignificantly(t),[],[],"[(' hunger rates', ' Human well-being'), (' health-adjusted life expectancy', ' Human well-being')]","IsIncreased(a) and IsDeclinedBy99Percent(b) and IsDyingFewerPeople(c, d) and IsDecreased(e) and IsDecreased(f) and IsDecreased(g) and IsDeclined(h) and IsDeclined(i) and IsMoreThanDoubled(j, k) and IsIncreased(l) and IsDecreased(m) and IsGreen(q) and IsMoreProductive(q) and IsPeaked(r, s)",IsImprovedSignificantly(t),"(exists l (exists h (IsIncreased(a) and IsDeclinedBy99Percent(b) and IsDyingFewerPeople(c, d) and IsDecreased(e) and IsDecreased(f) and IsDecreased(g) and IsDeclined(h) and IsDeclined(i) and IsMoreThanDoubled(j, k) and IsIncreased(l) and IsDecreased(m) and IsGreen(q) and IsMoreProductive(q) and IsPeaked(r, s)))) -> (forall t (IsImprovedSignificantly(t)))","(exists a (exists i (exists d (exists g (exists m (exists r (exists k (exists f (exists h (exists q (exists j (exists b (exists l (exists c (exists e (exists s (IsIncreased(a) and IsDeclinedBy99Percent(b) and IsDyingFewerPeople(c, d) and IsDecreased(e) and IsDecreased(f) and IsDecreased(g) and IsDeclined(h) and IsDeclined(i) and IsMoreThanDoubled(j, k) and IsIncreased(l) and IsDecreased(m) and IsGreen(q) and IsMoreProductive(q) and IsPeaked(r, s)))))))))))))))))) -> (exists t (IsImprovedSignificantly(t)))"
ad hominem,0,"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include “ chronic government corruption , and chronic domestic violence , ” along with “ child abuse , sex trafficking , and lack of legal provisions protecting worker ’ s rights. ”"," The island nation has significant problems including chronic government corruption, chronic domestic violence, child abuse, sex trafficking, and lack of legal provisions protecting workers' rights.", The island nation has serious human-rights issues.,"HasSignificantProblems(a),  IncludesChronicCorruption(a),  IncludesChronicViolence(a),  IncludesChildAbuse(a),  IncludesSexTrafficking(a),  LacksLegalProvisions(f,g)",HasSeriousHumanRightsIssues(a),[],"[(' The island nation', ' The island nation')]","[(' domestic violence', ' human-rights issues'), (' child abuse', ' human-rights issues'), (' sex trafficking', ' human-rights issues'), ("" workers' rights."", ' human-rights issues')]","HasSignificantProblems(a) and IncludesChronicCorruption(a) and IncludesChronicViolence(a) and IncludesChildAbuse(a) and IncludesSexTrafficking(a) and LacksLegalProvisions(f,g)",HasSeriousHumanRightsIssues(a),"(HasSignificantProblems(a) and IncludesChronicCorruption(a) and IncludesChronicViolence(a) and IncludesChildAbuse(a) and IncludesSexTrafficking(a) and LacksLegalProvisions(f,g)) -> (HasSeriousHumanRightsIssues(a))","(exists a (exists f (exists g (HasSignificantProblems(a) and IncludesChronicCorruption(a) and IncludesChronicViolence(a) and IncludesChildAbuse(a) and IncludesSexTrafficking(a) and LacksLegalProvisions(f,g))))) -> (exists a (HasSeriousHumanRightsIssues(a)))"
faulty generalization,0,"Sea levels are projected to rise by more than 3 feet by the end of the century , wiping away beaches and coastal properties ."," ""Sea levels are projected to rise by more than 3 feet by the end of the century, wiping away beaches and coastal properties.""  "," ""Beaches and coastal properties will be wiped away.""","AreProjectedToRise(c),  WipesAway(a),  WipesAway(b)","WipedAway(a),  WipedAway(b)",[],"[(' beaches', ' Beaches'), (' coastal properties', ' coastal properties')]","[(' beaches', ' coastal properties')]",AreProjectedToRise(c) and (WipesAway(a) and WipesAway(b)),WipedAway(a) and WipedAway(b),(exists a (AreProjectedToRise(c) and (WipesAway(a) and WipesAway(b)))) -> (exists a (forall b (WipedAway(a) and WipedAway(b)))),(exists c (exists b (exists a (AreProjectedToRise(c) and (WipesAway(a) and WipesAway(b)))))) -> (exists a (exists b (WipedAway(a) and WipedAway(b))))
faulty generalization,0,"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''"," Environmentalists and politicians promote the idea of ""settled science.""", Science is never truly settled.,"PromotesIdea(a,c),  PromotesIdea(b,c)",IsNeverTrulySettled(d),[],[],"[(' settled science', ' Science')]","PromotesIdea(a,c) and PromotesIdea(b,c)",IsNeverTrulySettled(d),"(exists c (PromotesIdea(a,c) and PromotesIdea(b,c))) -> (forall d (IsNeverTrulySettled(d)))","(exists a (exists c (exists b (PromotesIdea(a,c) and PromotesIdea(b,c))))) -> (exists d (IsNeverTrulySettled(d)))"
appeal to emotion,0,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``", Bears are going extinct and bears are going to starve to death.  , People should realize what it looks like when bears are going extinct.,"IsGoingExtinct(a),  IsGoingToStarve(a)","IsRealized(b),  IsGoingExtinct(a)",[],"[(' Bears', ' bears')]",[],IsGoingExtinct(a) and IsGoingToStarve(a),IsGoingExtinct(a) and IsRealized(b),(IsGoingExtinct(a) and IsGoingToStarve(a)) -> (IsGoingExtinct(a) and IsRealized(b)),(exists a (IsGoingExtinct(a) and IsGoingToStarve(a))) -> (exists a (exists b (IsGoingExtinct(a) and IsRealized(b))))
equivocation,0,"No one and nothing would experience it directly since we all live in regions , not the globe ."," We all live in regions, not the globe.  ", No one and nothing directly experiences the globe.,"LiveInRegions(b),  NotLiveInGlobe(b)","DoesNotExperienceGlobe(d),  DoesNotExperienceGlobe(e)",[],"[(' globe', ' the globe')]","[(' regions', ' the globe')]",LiveInRegions(b) and NotLiveInGlobe(b),DoesNotExperienceGlobe(d) and DoesNotExperienceGlobe(e),(LiveInRegions(b) and NotLiveInGlobe(b)) -> (DoesNotExperienceGlobe(d) and DoesNotExperienceGlobe(e)),(exists b (LiveInRegions(b) and NotLiveInGlobe(b))) -> (exists e (exists d (DoesNotExperienceGlobe(d) and DoesNotExperienceGlobe(e))))
intentional,0,"By 2070 , that could be about a third of the overall global population at that time ."," By 2070, a third of the global population could be affected.", A third of the global population will be affected by 2070.,IsAffected(a),IsAffected(a),[],"[(' A third of the global population', ' The global population')]",[],IsAffected(a),IsAffected(a),(IsAffected(a)) -> (IsAffected(a)),(exists a (IsAffected(a))) -> (exists a (IsAffected(a)))
fallacy of logic,0,"Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide . Habitat loss and human predation are a far greater problem for most animals . Elephants
won ’ t make it to see a warmer climate ."," Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people worldwide. Habitat loss and human predation are a far greater problem for most animals. Elephants won’t make it to see a warmer climate.", Environmental problems are more immediate concerns for people and animals than climate change.,"IsGreaterProblem(a, d),  IsGreaterProblem(b, d),  IsGreaterProblem(c, d),  IsGreaterProblem(e, g),  IsGreaterProblem(f, g),  Won'tSee(h, i)","IsImmediateConcern(j, l),  IsImmediateConcern(j, m),  IsMoreImmediateThan(k, n)",[],[],"[(' dirty air', ' Environmental problems'), (' most people worldwide', ' people'), (' most people worldwide', ' animals'), (' habitat loss', ' Environmental problems'), (' human predation', ' Environmental problems'), (' human predation', ' animals'), (' most animals', ' animals'), (' elephants', ' animals')]","IsGreaterProblem(a, d) and IsGreaterProblem(b, d) and IsGreaterProblem(c, d) and IsGreaterProblem(e, g) and IsGreaterProblem(f, g) and ~See(h, i)","(IsImmediateConcern(j, l) and IsImmediateConcern(j, m)) and IsMoreImmediateThan(k, n)","(exists h (exists g (exists f (exists e (exists d (exists b (IsGreaterProblem(a, d) and IsGreaterProblem(b, d) and IsGreaterProblem(c, d) and IsGreaterProblem(e, g) and IsGreaterProblem(f, g) and ~See(h, i)))))))) -> (forall m (forall l (forall j ((IsImmediateConcern(j, l) and IsImmediateConcern(j, m)) and IsMoreImmediateThan(k, n)))))","(exists a (exists i (exists d (exists g (exists f (exists h (exists b (exists c (exists e (IsGreaterProblem(a, d) and IsGreaterProblem(b, d) and IsGreaterProblem(c, d) and IsGreaterProblem(e, g) and IsGreaterProblem(f, g) and ~See(h, i))))))))))) -> (exists k (exists m (exists j (exists l (exists n ((IsImmediateConcern(j, l) and IsImmediateConcern(j, m)) and IsMoreImmediateThan(k, n)))))))"
fallacy of extension,0,"The problem with the proponents of man-made climate change theories isn ’ t that they might be wrong . The real issue is the arrogance and zealotry found in people who see science not as an ongoing process , but as a religion .", Proponents of man-made climate change theories are arrogant and zealous., Science is viewed as a religion by proponents of man-made climate change theories.,"IsArrogant(a),  IsZealous(a)","ViewedAs(science, religion),  ProponentsOf(a, d)",[],"[(' proponents', ' Proponents of man-made climate change theories')]","[(' Proponents of man-made climate change theories', ' man-made climate change theories')]",IsArrogant(a) and IsZealous(a),"ProponentsOf(a, d) and ViewedAs(b, c)","(exists a (IsArrogant(a) and IsZealous(a))) -> (forall d (ProponentsOf(a, d) and ViewedAs(b, c)))","(exists a (IsArrogant(a) and IsZealous(a))) -> (exists a (exists d (exists c (exists b (ProponentsOf(a, d) and ViewedAs(b, c))))))"
ad populum,0,"A recent study found that 9 million people died prematurely from pollution-related diseases in 2015 , accounting for 16 % of all deaths worldwide ."," ""9 million people died prematurely from pollution-related diseases in 2015, accounting for 16% of all deaths worldwide.""  "," ""Pollution causes premature deaths.""","DiedPrematurelyFrom(b, c),  InYear(b, d),  AccountForPercentage(a, b)","Causes(e, a)",[],"[(' premature deaths', ' all deaths worldwide')]","[(' pollution-related diseases', ' Pollution')]","DiedPrematurelyFrom(b, c) and InYear(b, d) and AccountForPercentage(a, b)","Causes(e, a)","(exists c (DiedPrematurelyFrom(b, c) and InYear(b, d) and AccountForPercentage(a, b))) -> (forall e (Causes(e, a)))","(exists c (exists d (exists a (exists b (DiedPrematurelyFrom(b, c) and InYear(b, d) and AccountForPercentage(a, b)))))) -> (exists a (exists e (Causes(e, a))))"
