label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!",,,,,[],[],[],,,,
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",,,,,[],[],[],,,,
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",,,,,[],[],[],,,,
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",,,,,[],[],[],,,,
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",,,,,[],[],[],,,,
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,,,,,[],[],[],,,,
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",,,,,[],[],[],,,,
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",,,,,[],[],[],,,,
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,,,,,[],[],[],,,,
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",,,,,[],[],[],,,,
0,false causality,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",,,,,[],[],[],,,,
0,false causality,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.",,,,,[],[],[],,,,
0,fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",,,,,[],[],[],,,,
