,label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!"," ""Giving 10% of your income to the Church will free a child's soul from Limbo into Heaven."""," ""You should give your money to the Church."""," IsGiven(b,a),  IsInLimbo(c),  IsInHeaven(c)"," IsGiven(f,a)",[],"[(' church', ' church')]","[(' Your money', ' Your income'), (' heaven', ' church')]","(IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)","IsGiven(f,a)","(exists e (forall b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))) -> (forall a (exists f (IsGiven(f,a))))","(exists c (exists e (exists b (exists a ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))))) -> (exists f (exists a (IsGiven(f,a))))",
1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!"," ""If everyone lived their life exactly like Jesus lived his life"""," ""The world would be a beautiful place"""," IsLivedExactlyLike(a,b)", IsBeautiful(d),[],[],[],"IsLivedExactlyLike(a,b)",IsBeautiful(c),"(IsLivedExactlyLike(a,b)) -> (IsBeautiful(c))","(exists a (exists b (IsLivedExactlyLike(a,b)))) -> (exists c (IsBeautiful(c)))",LF
2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."," ""You don't like the kitty-cat sweater."""," ""Grandma will be happy to see you wear it in the family holiday photo.""",a) DoesNotLike(a), WillBeHappy(a),[],"[('', '')]",[],DoesNotLike(a),"WillBeHappy(a) and (IsWearing(a,family holiday photo) and IsInTheFamily(a))","(DoesNotLike(a)) -> (WillBeHappy(a) and (IsWearing(a,family holiday photo) and IsInTheFamily(a)))","(exists a (DoesNotLike(a))) -> (exists a (WillBeHappy(a) and (IsWearing(a,family holiday photo) and IsInTheFamily(a))))",
3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?"," ""Everyone breaks into the spooky cabin."""," ""You should break into the spooky cabin.""", IsInSpookyCabin(a)," ShouldBreakInto(c,a)",[],"[(' spooky cabin', ' spooky cabin')]","[(' spooky cabin', ' You')]",IsInSpookyCabin(b),"ShouldBreakInto(c,a)","(IsInSpookyCabin(b)) -> (ShouldBreakInto(c,a))","(exists b (IsInSpookyCabin(b))) -> (exists c (exists a (ShouldBreakInto(c,a))))",LF
4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer says the debate is the best class."""," ""The debate is the best class."""," IsTeacherOf(b),  IsBestClass(c)", IsBestClass(d),[],"[(' class', ' class')]","[(' Ms. Drayer', ' class'), (' debate', ' The debate'), (' debate', ' class'), (' The debate', ' class')]",IsTeacherOf(b) and IsBestClass(c),IsBestClass(a),(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (forall a (IsBestClass(a))),(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (exists a (IsBestClass(a))),Valid
5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blonde crossed the road because she saw a shoe sale."""," ""There is a shoe sale on the other side of the road."""," IsBlonde(b),  IsAtShoeSale(a)", IsOnOtherSideOfRoad(d),[],"[(' shoe sale', ' shoe sale')]","[(' The blonde', ' There is')]",IsBlonde(b) and IsAtShoeSale(a),IsOnOtherSideOfRoad(d) and IsA(a),(IsBlonde(b) and IsAtShoeSale(a)) -> (IsOnOtherSideOfRoad(d) and IsA(a)),(exists b (exists a (IsBlonde(b) and IsAtShoeSale(a)))) -> (exists a (exists d (IsOnOtherSideOfRoad(d) and IsA(a)))),LF
6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
"," ""Timmy doesn't believe in God."""," ""Timmy will burn in Hell forever."""," IsBelieveIn(a),  IsGod(b)"," IsBurnIn(a),  IsInHell(c),  IsForever(d)",[],"[(' Timmy', ' Timmy')]",[],~IsBelieveIn(a),IsBurnIn(a) and IsInHell(c) and IsForever(d),(~IsBelieveIn(a)) -> (IsBurnIn(a) and IsInHell(c) and IsForever(d)),(exists a (~IsBelieveIn(a))) -> (exists c (exists a (exists d (IsBurnIn(a) and IsInHell(c) and IsForever(d))))),LF
7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",,,,,[],[],[],,,() -> (),() -> (),
8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.," ""Caroline is going to have lunch with the new girl."""," ""Jenna can't believe that Caroline is ditching her old friends for the new girl."""," IsGoingToHaveLunch(a,b)", IsDitching(c),[],[],"[(' Caroline', ''), (' new girl', '')]","IsGoingToHaveLunch(a,b)",IsDitching(c) and ~Believes(c),"(exists b (exists a (IsGoingToHaveLunch(a,b)))) -> (forall c (IsDitching(c) and ~Believes(c)))","(exists a (exists b (IsGoingToHaveLunch(a,b)))) -> (exists c (IsDitching(c) and ~Believes(c)))",LF
9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",,,,,[],[],[],,,() -> (),() -> (),
