label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!"," ""Giving 10% of a person's income to the Church will free a child's soul from Limbo into Heaven.""  "," ""A person should give money.""","IsGiven(a,b),  IsInLimbo(c),  IsInHeaven(c)","IsGiven(g,f)",[],[],[],"(IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c)","IsGiven(g,f)","((IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c)) -> (IsGiven(g,f))","(exists b (exists a (exists c ((IsGiven(a,b) and IsInLimbo(c)) and IsInHeaven(c))))) -> (exists g (exists f (IsGiven(g,f))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!"," ""Everyone should live like Jesus lived.""  "," ""The world would be a beautiful place.""","ShouldLiveLike(a, b)","IsBeautiful(c),  IsPlace(d)",[],[],"[(' Everyone', ' The world')]","ShouldLiveLike(a, b)",IsBeautiful(c) and IsPlace(d),"(exists a (ShouldLiveLike(a, b))) -> (forall c (IsBeautiful(c) and IsPlace(d)))","(exists b (exists a (ShouldLiveLike(a, b)))) -> (exists d (exists c (IsBeautiful(c) and IsPlace(d))))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.", Grandma knitted a kitty-cat sweater and worked hard on it.  , Wearing the kitty-cat sweater will make Grandma happy.,"IsKnitting(a, b),  IsWorkingHardOn(a, c)","IsWearing(b),  MakesHappy(a)",[],"[(' Grandma', ' Grandma'), (' kitty-cat sweater', ' the kitty-cat sweater')]",[],"IsKnitting(a, b) and IsWorkingHardOn(a, c)",IsWearing(b) and MakesHappy(a),"(IsKnitting(a, b) and IsWorkingHardOn(a, c)) -> (IsWearing(b) and MakesHappy(a))","(exists b (exists a (exists c (IsKnitting(a, b) and IsWorkingHardOn(a, c))))) -> (exists b (exists a (IsWearing(b) and MakesHappy(a))))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?"," ""Everyone breaks into the spooky cabin.""  "," ""Dave wants you to break into the spooky cabin.""","BreaksInto(b, a),  IsSpooky(a)","Wants(c, d),  BreaksInto(d, a),  IsSpooky(a)",[],"[(' spooky cabin', ' the spooky cabin')]","[(' Everyone', ' you')]","IsSpooky(a) and BreaksInto(b, a)","Wants(c, d) and BreaksInto(d, a) and IsSpooky(a)","(exists b (IsSpooky(a) and BreaksInto(b, a))) -> (forall d (Wants(c, d) and BreaksInto(d, a) and IsSpooky(a)))","(exists b (exists a (IsSpooky(a) and BreaksInto(b, a)))) -> (exists a (exists d (exists c (Wants(c, d) and BreaksInto(d, a) and IsSpooky(a)))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is."," ""Ms. Drayer says the debate is the best class.""  "," ""The debate is the best class.""","Says(c, a),  IsBest(b)",IsBest(b),[],"[(' the debate', ' The debate'), (' the best class', ' the best class')]",[],"Says(c, a) and IsBest(b)",IsBest(b) and IsDebate(a),"(Says(c, a) and IsBest(b)) -> (IsBest(b) and IsDebate(a))","(exists b (exists a (exists c (Says(c, a) and IsBest(b))))) -> (exists b (exists a (IsBest(b) and IsDebate(a))))"
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!," ""The blond saw a shoe sale.""  "," ""The blond crossed the road.""","IsBlond(a),  Saw(a, b)","IsBlond(a),  Crossed(a)","[('  Crossed(a)', 'IsBlond(a)')]","[(' The blond', ' The blond')]",[],"IsBlond(a) and Saw(a, b)",IsBlond(a) and Crossed(a),"(IsBlond(a) and Saw(a, b) & (forall a (  Crossed(a) -> IsBlond(a)))) -> (IsBlond(a) and Crossed(a))","(exists b (exists a (IsBlond(a) and Saw(a, b))) & (forall c (  Crossed(c) -> IsBlond(c)))) -> (exists a (IsBlond(a) and Crossed(a)))"
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
"," ""Mom believes that if Timmy doesn’t believe in God, then Timmy burns in Hell forever.""  "," ""Timmy will burn in Hell forever.""","Believes(c),  Believes(a, d),  Burns(a, b)","Burns(a, b)",[],"[(' Timmy', ' Timmy'), (' Hell', ' Hell')]",[],"Believes(c) and (~Believes(a, d) and Burns(a, b))","Burns(a, b)","(Believes(c) and (~Believes(a, d) and Burns(a, b))) -> (Burns(a, b))","(exists b (exists d (exists a (exists c (Believes(c) and (~Believes(a, d) and Burns(a, b))))))) -> (exists b (exists a (Burns(a, b))))"
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?"," ""You never gave money to charity.""  "," ""You must be a greedy millionaire.""","GaveMoney(a, b, c),  NeverGaveMoney(a, b, c)","IsGreedy(d),  IsMillionaire(d)",[],"[(' You', ' You')]",[],"~GaveMoney(a, b, c)",IsGreedy(d) and IsMillionaire(d),"(~GaveMoney(a, b, c)) -> (IsGreedy(d) and IsMillionaire(d))","(exists b (exists a (exists c (~GaveMoney(a, b, c))))) -> (exists d (IsGreedy(d) and IsMillionaire(d)))"
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.," ""Caroline is going to have lunch with the new girl.""  "," ""Caroline is ditching her old friends for the new girl.""","IsHavingLunch(a, b)","IsDitching(a, c),  IsFor(a, b)",[],"[(' Caroline', ' Caroline'), (' the new girl', ' the new girl')]",[],"IsHavingLunch(a, b)","IsDitching(a, c) and IsFor(a, b)","(IsHavingLunch(a, b)) -> (IsDitching(a, c) and IsFor(a, b))","(exists b (exists a (IsHavingLunch(a, b)))) -> (exists b (exists a (exists c (IsDitching(a, c) and IsFor(a, b)))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you."""," ""You can never give anyone a break.""  "," ""Giving anyone a break leads to being walked all over.""","IsYou(c),  CanGive(c,a,b)","IsGiven(a,b),  LeadsTo(d)",[],"[(' anyone', ' Anyone'), (' a break', ' a break')]",[],"~CanGive(c,a,b)","(IsGiven(a,b)) and LeadsTo(d)","(~CanGive(c,a,b)) -> ((IsGiven(a,b)) and LeadsTo(d))","(exists b (exists a (exists c (~CanGive(c,a,b))))) -> (exists b (exists d (exists a ((IsGiven(a,b)) and LeadsTo(d)))))"
0,false causality,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits."," ""Runs occur to statistically independent phenomena such as routine wheel spirits.""  "," ""Statistically independent phenomena are believed to have runs.""","IsStatisticallyIndependent(b),  IsRoutine(c),  OccursFor(a,b)","IsStatisticallyIndependent(d),  IsBelievedToHave(d, a)",[],"[(' Runs', ' runs')]","[(' phenomena', ' Statistically independent phenomena')]","IsStatisticallyIndependent(b) and IsRoutine(c) and OccursFor(a,b)","IsStatisticallyIndependent(d) and IsBelievedToHave(d, a)","(exists b (IsStatisticallyIndependent(b) and IsRoutine(c) and OccursFor(a,b))) -> (forall d (IsStatisticallyIndependent(d) and IsBelievedToHave(d, a)))","(exists b (exists a (exists c (IsStatisticallyIndependent(b) and IsRoutine(c) and OccursFor(a,b))))) -> (exists a (exists d (IsStatisticallyIndependent(d) and IsBelievedToHave(d, a))))"
0,false causality,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror."," ""I broke a mirror earlier in the day.""  "," ""I received an F on my history final because I broke the mirror.""","Broke(b, c)","Received(a, d),  HasHistoryFinal(a, e),  Broke(a, b)",[],"[(' I', ' I'), (' a mirror', ' the mirror')]",[],"Broke(b, c)","(Received(a, d) and HasHistoryFinal(a, e) and Broke(a, b))","(Broke(b, c)) -> ((Received(a, d) and HasHistoryFinal(a, e) and Broke(a, b)))","(exists b (exists c (Broke(b, c)))) -> (exists b (exists d (exists a (exists e ((Received(a, d) and HasHistoryFinal(a, e) and Broke(a, b)))))))"
0,fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas."," ""Charlie thinks more money should be put into schools and quality public education is important.""  "," ""Charlie wants the country to be weak and defenseless against terrorists.""","Thinks(a),  ShouldBePutInto(b, c),  IsImportant(d)","Wants(a, e),  IsWeak(e),  IsDefenseless(e),  IsAgainst(e, f)",[],"[(' Charlie', ' Charlie')]",[],"Thinks(a) and ShouldBePutInto(b, c) and IsImportant(d)","Wants(a, e) and IsWeak(e) and IsDefenseless(e) and IsAgainst(e, f)","(Thinks(a) and ShouldBePutInto(b, c) and IsImportant(d)) -> (Wants(a, e) and IsWeak(e) and IsDefenseless(e) and IsAgainst(e, f))","(exists b (exists d (exists a (exists c (Thinks(a) and ShouldBePutInto(b, c) and IsImportant(d)))))) -> (exists f (exists a (exists e (Wants(a, e) and IsWeak(e) and IsDefenseless(e) and IsAgainst(e, f)))))"
0,false causality,"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born."," ""Cellphones were created because I was born.""  "," ""Cellphones are everywhere.""","Created(a),  Born(b)",IsEverywhere(a),[],"[(' Cellphones', ' Cellphones')]",[],Created(a) and Born(b),IsEverywhere(a),(Created(a) and Born(b)) -> (IsEverywhere(a)),(exists b (exists a (Created(a) and Born(b)))) -> (exists a (IsEverywhere(a)))
0,ad hominem,Ms. Baker assigned me a lot of homework because she’s a witch!," ""Ms. Baker assigned a lot of homework.""  "," ""Ms. Baker is a witch.""","AssignedHomework(a, b)",IsWitch(a),[],"[(' Ms. Baker', ' Ms. Baker')]",[],"AssignedHomework(a, b)",IsWitch(a),"(AssignedHomework(a, b)) -> (IsWitch(a))","(exists b (exists a (AssignedHomework(a, b)))) -> (exists a (IsWitch(a)))"
0,fallacy of credibility,"My dad went to school, so he knows everything about the education system."," ""Dad went to school.""  "," ""Dad knows everything about the education system.""","IsDad(a),  IsInSchool(a)","IsDad(a),  KnowsAbout(a, d),  IsEverything(c)",[],"[(' Dad', ' Dad')]","[(' school', ' the education system')]",IsDad(a) and IsInSchool(a),"IsDad(a) and IsEverything(c) and KnowsAbout(a, d)","(IsDad(a) and IsInSchool(a)) -> (IsDad(a) and IsEverything(c) and KnowsAbout(a, d))","(exists a (IsDad(a) and IsInSchool(a))) -> (exists d (exists a (exists c (IsDad(a) and IsEverything(c) and KnowsAbout(a, d)))))"
